,日期,时间,卖家,价格,发货,FBA库存数量,评论数,评分,排名,近3日排名走势
1,2022-06-30,16:21:54,Looline,"$2,399.00",FBA,11,6,3.8,256,714→714→714→714→190→154→219→219→255→256→
2,2022-06-30,16:30:49,TYTY USA,"$1,395.00",FBA,13,11,3.5,321,175→175→175→175→235→262→301→321→321→
3,2022-06-30,16:31:58,HARZHI,"$2,499.00",FBA,19,10,3.8,708,1074→1074→1074→1074→1074→597→681→708→
4,2022-06-30,16:20:28,HERBSASY,"$2,799.00",FBA,1,3,5.0,721,695→695→695→695→703→704→704→704→719→721→
5,2022-06-30,16:21:20,MWE Tech,"$3,899.00",FBA,3,27,4.2,819,774→774→774→774→794→795→817→819→
6,2022-06-30,16:29:39,WAHER,"$2,799.00",FBA,In Stock.,12,4.0,1038,1752→1752→1752→1752→1220→895→872→987→1038→
7,2022-06-30,16:30:14,WAHER,"$3,299.00",FBA,17,12,4.0,1038,1752→1752→1752→1752→1282→895→872→987→1038→
8,2022-06-30,16:29:21,HERBSASY,"$2,199.00",FBM,In stock.,3,5.0,1249,1237→1237→1237→1237→1242→1241→1245→1248→1249→
9,2022-06-30,16:30:32,HARZHI,"$2,799.00",FBA,In Stock.,10,3.8,1456,1377→1377→1377→1377→1386→1411→1448→1456→
10,2022-06-30,17:24:24,Looline,"$2,399.00",FBA,11,0,0.0,9999,239→239→239→239→303→165→140→255→9999→
11,2022-06-30,17:19:47,TYTY USA,"$2,099.00",FBA,9,0,0.0,9999,661→661→661→661→154→172→203→217→9999→
12,2022-06-30,17:24:07,MWE Tech,"$2,199.00",FBA,In Stock.,0,0.0,9999,156→156→156→156→203→221→153→172→9999→
13,2022-06-30,17:22:06,MWE Tech,"$2,380.00",FBA,In Stock.,0,0.0,9999,86→86→86→86→167→181→77→27→9999→
14,2022-06-30,17:19:30,RXF_USA,"$2,999.00",FBA,1,0,0.0,9999,3446→3446→3446→3446→3454→3456→3467→3467→9999→
15,2022-06-30,17:17:09,,"$2,389.00",,0,0,0.0,9999,931→931→931→931→1088→1137→1232→1266→9999→
16,2022-06-30,17:28:27,,"$1,395.00",,0,0,0.0,9999,5269→5269→5269→5269→5275→5276→5278→5279→9999→
17,2022-06-30,17:17:26,RXF_USA,"$2,199.00",FBA,16,0,0.0,9999,1184→1184→1184→1184→1202→1229→575→610→9999→
18,2022-06-30,17:25:16,RXF_USA,"$2,389.00",FBA,In Stock.,0,0.0,9999,2002→2002→2002→2002→2020→2028→2033→2033→421→482→9999→
19,2022-06-30,17:21:14,Hlilai.Inc,"$2,350.00",FBM,In stock.,0,0.0,9999,9999→9999→9999→9999→9999→9999→9999→9999→
20,2022-06-30,17:21:31,Hlilai.Inc,"$2,730.00",FBM,In stock.,0,0.0,9999,9999→9999→9999→9999→9999→9999→9999→9999→9999→
21,2022-06-30,17:20:22,Hlilai.Inc,"$1,899.00",FBA,1,0,0.0,9999,9999→9999→9999→9999→9999→9999→9999→9999→9999→9999→9999→9999→
22,2022-06-30,17:16:32,Hlilai.Inc,"$2,799.00",FBA,2,0,0.0,9999,9999→9999→9999→9999→9999→9999→9999→9999→9999→9999→9999→
23,2022-06-30,17:24:41,Hlilai.Inc,"$2,389.00",FBM,In stock.,0,0.0,9999,9999→9999→9999→9999→9999→9999→9999→9999→9999→9999→9999→9999→
24,2022-06-30,16:29:56,Hlilai.Inc,"$2,499.00",FBM,3,12,4.0,9999,9999→9999→9999→9999→9999→9999→9999→9999→9999→
25,2022-06-30,17:20:39,Zlpower,"$1,899.00",FBM,In stock.,0,0.0,9999,635→635→635→635→653→656→668→671→9999→
26,2022-06-30,17:22:23,WAHER,"$2,399.00",FBA,13,0,0.0,9999,306→306→306→306→350→357→374→179→9999→
27,2022-06-30,17:18:55,WAHER,"$2,199.00",FBA,In Stock.,0,0.0,9999,142→142→142→142→259→276→147→147→183→183→341→9999→
28,2022-06-30,17:15:06,HARZHI,"$2,199.00",FBA,2,0,0.0,9999,2057→2057→2057→2057→2126→2155→2199→2199→2224→2224→2233→9999→
29,2022-06-30,17:27:49,MWE Tech,"$2,999.00",FBA,10,0,0.0,9999,166→166→166→166→260→290→330→348→9999→
30,2022-06-30,17:27:32,HARZHI,"$2,999.00",FBA,4,0,0.0,9999,9999→9999→9999→9999→9999→9999→9999→9999→9999→
