"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in USD, unless specified"
"Definitions:"
"Sales tax collected: Includes sales tax collected from buyers for product sales, shipping, and gift wrap."
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, per-item fees  and sales tax collection fees."
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"date/time","settlement id","type","order id","sku","description","quantity","marketplace","account type","fulfillment","order city","order state","order postal","tax collection model","product sales","product sales tax","shipping credits","shipping credits tax","gift wrap credits","giftwrap credits tax","Regulatory Fee","Tax On Regulatory Fee","promotional rebates","promotional rebates tax","marketplace withheld tax","selling fees","fba fees","other transaction fees","other","total"
"Apr 1, 2022 7:57:36 PM PDT","15695148511","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-502.80","0","-502.80"
"Apr 1, 2022 11:33:14 PM PDT","15695148511","Order","112-3667187-0669806","B300-Yellow and White","olylo Bark Collar, No Bark Collars for Dogs with Beep and Shock, 2 Adjustable Sensitivity and 5 Intensity Shock, Shock Barking Dog Collar for Large Me","1","amazon.com","Standard Orders","Amazon","BEAR","DE","19701-1958","","25.99","0","0","0","0","0","0","0","0","0","0","0","-3.54","0","0","22.45"
"Apr 2, 2022 2:46:54 AM PDT","15695148511","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-65.71","0","-65.71"
"Apr 2, 2022 1:32:00 PM PDT","15695148511","Order","111-4155318-8460262","B300-Black and White","olylo Bark Collar, No Bark Collars for Dogs with Beep and Shock, 2 Adjustable Sensitivity and 5 Intensity Shock, Shock Barking Dog Collar for Large Me","2","amazon.com","Standard Orders","Amazon","ROGERSVILLE","MO","65742-7843","","51.98","0","10.25","0","0","0","0","0","0","0","0","0","-17.55","0","0","44.68"
"Apr 3, 2022 10:12:00 PM PDT","15695148511","Order","114-8516765-3380218","B300-Yellow and White","olylo Bark Collar, No Bark Collars for Dogs with Beep and Shock, 2 Adjustable Sensitivity and 5 Intensity Shock, Shock Barking Dog Collar for Large Me","1","amazon.com","Standard Orders","Amazon","HOT SPRINGS","AR","71913-4108","MarketplaceFacilitator","23.39","2.11","0","0","0","0","0","0","-1.17","0","-2.11","0","-3.54","0","0","18.68"
"Apr 4, 2022 11:42:44 AM PDT","15695148511","Order","114-7432451-6285052","B300-Yellow and White","olylo Bark Collar, No Bark Collars for Dogs with Beep and Shock, 2 Adjustable Sensitivity and 5 Intensity Shock, Shock Barking Dog Collar for Large Me","1","amazon.com","Standard Orders","Amazon","WASILLA","AK","99654-9678","MarketplaceFacilitator","23.39","0.56","0","0","0","0","0","0","-1.17","0","-0.56","0","-3.54","0","0","18.68"
"Apr 4, 2022 1:04:20 PM PDT","15695148511","Order","114-1410409-0993024","L0-A6SK-FXXP","olylo 360 Photo Booth Machine for Parties People to Stand on, Slow Motion Rotating, 360 Camera Booth Machine with LED Ring Light for Parties, Weddings","1","amazon.com","Standard Orders","Amazon","SYLACAUGA","AL","35150-8044","MarketplaceFacilitator","3,299.00","263.92","0","0","0","0","0","0","0","0","-263.92","0","-122.19","0","0","3,176.81"
"Apr 4, 2022 1:04:52 PM PDT","15695148511","Order","112-7827959-8292209","L0-A6SK-FXXP","olylo 360 Photo Booth Machine for Parties People to Stand on, Slow Motion Rotating, 360 Camera Booth Machine with LED Ring Light for Parties, Weddings","1","amazon.com","Standard Orders","Amazon","NEW ORLEANS","LA","70128-1575","MarketplaceFacilitator","3,299.00","311.76","0","0","0","0","0","0","0","0","-311.76","0","-122.19","0","0","3,176.81"
"Apr 4, 2022 10:05:12 PM PDT","15695148511","Service Fee","","","Cost of Advertising","","","Standard Orders","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","-501.27","0","-501.27"
"Apr 5, 2022 11:39:47 AM PDT","15695148511","Order","114-5992372-1724214","B300-Yellow and White","olylo Bark Collar, No Bark Collars for Dogs with Beep and Shock, 2 Adjustable Sensitivity and 5 Intensity Shock, Shock Barking Dog Collar for Large Me","1","amazon.com","Standard Orders","Amazon","VERSAILLES","KY","40383-1164","MarketplaceFacilitator","23.39","1.33","0","0","0","0","0","0","-1.17","0","-1.33","0","-3.54","0","0","18.68"
"Apr 5, 2022 12:03:51 PM PDT","15695148511","Order","111-8599193-3688216","E5-VSV4-XXLM","olylo 360 Photo Booth Machine for Parties People to Stand on, Slow Motion Rotating, 360 Camera Booth Machine with LED Ring Light for Parties, Weddings","1","amazon.com","Standard Orders","Amazon","FOLSOM","CA","95630-8635","MarketplaceFacilitator","2,699.00","198.71","0","0","0","0","0","0","-134.95","0","-198.71","0","-73.12","0","0","2,490.93"
"Apr 5, 2022 5:58:23 PM PDT","15695148511","Order","113-9078643-8545064","B300-Yellow and White","olylo Bark Collar, No Bark Collars for Dogs with Beep and Shock, 2 Adjustable Sensitivity and 5 Intensity Shock, Shock Barking Dog Collar for Large Me","1","amazon.com","Standard Orders","Amazon","BIRMINGHAM","AL","35234-2901","MarketplaceFacilitator","23.39","1.78","0","0","0","0","0","0","-1.17","0","-1.78","0","-3.54","0","0","18.68"
